Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
"111 Chief executives, general managers and legislators",Females,2334.7,2334.7,35.8,35.8,65.3,65.3,2016
"111 Chief executives, general managers and legislators",Males,2806.1,2806.1,38.4,38.4,73,73,2016
"111 Chief executives, general managers and legislators",Persons,2666.2,2666.2,37.6,37.6,70.9,70.9,2016
121 Farmers and farm managers,Females,0,0,0,0,0,0,2016
131 Advertising and sales managers,Females,2329.9,2329.9,38,38,61.3,61.3,2016
131 Advertising and sales managers,Males,2343.8,2348.3,38.2,38.3,61.4,61.4,2016
131 Advertising and sales managers,Persons,2340.4,2343.8,38.1,38.2,61.4,61.3,2016
132 Business administration managers,Females,2267.6,2267.6,37.7,37.7,60.2,60.2,2016
132 Business administration managers,Males,2894.3,2894.3,37.8,37.8,76.6,76.6,2016
132 Business administration managers,Persons,2597.2,2597.2,37.7,37.7,68.8,68.8,2016
"133 Construction, distribution and production managers",Females,2327.8,2339.7,38.9,39.2,59.8,59.7,2016
"133 Construction, distribution and production managers",Males,2296.6,2362,38.7,39.8,59.3,59.3,2016
"133 Construction, distribution and production managers",Persons,2300.5,2359.2,38.8,39.8,59.4,59.3,2016
"134 Education, health and welfare services managers",Females,2119.6,2119.8,35.9,36,59,59,2016
"134 Education, health and welfare services managers",Males,2218.4,2218.4,36.4,36.4,61,61,2016
"134 Education, health and welfare services managers",Persons,2147,2147.1,36.1,36.1,59.5,59.5,2016
135 ICT managers,Females,2435.6,2435.6,37.6,37.6,64.8,64.8,2016
135 ICT managers,Males,2586.8,2594.6,37.3,37.4,69.4,69.5,2016
135 ICT managers,Persons,2539.7,2545.1,37.4,37.4,68,68,2016
139 Miscellaneous specialist managers,Females,2315.2,2325.2,37.9,38,61.1,61.2,2016
139 Miscellaneous specialist managers,Males,2756.6,2872.5,38.1,39.2,72.3,73.2,2016
139 Miscellaneous specialist managers,Persons,2483,2533.3,38,38.5,65.3,65.9,2016
141 Accommodation and hospitality managers,Females,1205.7,1205.7,39.1,39.1,30.8,30.8,2016
141 Accommodation and hospitality managers,Males,1360.6,1360.6,39.7,39.7,34.3,34.3,2016
141 Accommodation and hospitality managers,Persons,1297.2,1297.2,39.5,39.5,32.9,32.9,2016
142 Retail managers,Females,1267.4,1276.4,38.5,38.6,32.9,33,2016
142 Retail managers,Males,1548.9,1553.4,39.7,39.9,39,39,2016
142 Retail managers,Persons,1403.1,1409.9,39.1,39.2,35.9,35.9,2016
"149 Miscellaneous hospitality, retail and service managers",Females,1701.3,1708.8,37.8,37.9,45,45.1,2016
"149 Miscellaneous hospitality, retail and service managers",Males,1849.7,1880.5,38.1,38.6,48.6,48.7,2016
"149 Miscellaneous hospitality, retail and service managers",Persons,1758.9,1775.6,37.9,38.2,46.4,46.5,2016
211 Arts professionals,Females,1793.9,1793.9,37.8,37.8,47.4,47.4,2016
211 Arts professionals,Males,1580.3,1580.3,37.5,37.5,42.2,42.2,2016
211 Arts professionals,Persons,1671.2,1671.2,37.6,37.6,44.4,44.4,2016
212 Media professionals,Females,1443.2,1449,37.7,37.8,38.3,38.4,2016
212 Media professionals,Males,1888.6,1894.2,38.3,38.4,49.3,49.3,2016
212 Media professionals,Persons,1644.3,1650.1,38,38.1,43.3,43.4,2016
"221 Accountants, auditors and company secretaries",Females,1627.6,1627.8,37.4,37.4,43.5,43.5,2016
"221 Accountants, auditors and company secretaries",Males,1722.8,1722.8,37.8,37.8,45.5,45.5,2016
"221 Accountants, auditors and company secretaries",Persons,1667.7,1667.9,37.6,37.6,44.4,44.4,2016
"222 Financial brokers and dealers, and investment advisers",Females,1970.9,1971.3,37.3,37.3,52.9,52.9,2016
"222 Financial brokers and dealers, and investment advisers",Males,2360.4,2360.4,38,38,62.2,62.2,2016
"222 Financial brokers and dealers, and investment advisers",Persons,2245.3,2245.5,37.8,37.8,59.5,59.5,2016
223 Human resource and training professionals,Females,1607.6,1608.5,38,38.1,42.3,42.3,2016
223 Human resource and training professionals,Males,1959.2,1969.8,38.2,38.3,51.3,51.4,2016
223 Human resource and training professionals,Persons,1746,1750.7,38.1,38.2,45.8,45.9,2016
224 Information and organisation professionals,Females,1767.1,1777.4,37.1,37.3,47.6,47.7,2016
224 Information and organisation professionals,Males,2089.2,2095.1,37.7,37.8,55.4,55.4,2016
224 Information and organisation professionals,Persons,1931.7,1939.7,37.4,37.5,51.6,51.7,2016
"225 Sales, marketing and public relations professionals",Females,1562.4,1562.7,37.4,37.4,41.8,41.8,2016
"225 Sales, marketing and public relations professionals",Males,2097.6,2097.6,38.4,38.4,54.7,54.7,2016
"225 Sales, marketing and public relations professionals",Persons,1870.2,1870.3,38,38,49.3,49.3,2016
231 Air and marine transport professionals,Females,1876.4,1894.9,37.1,37.3,50.6,50.8,2016
231 Air and marine transport professionals,Males,2449.5,2645.9,42.4,43.9,57.8,60.3,2016
231 Air and marine transport professionals,Persons,2409.1,2593,42,43.4,57.3,59.7,2016
"232 Architects, designers, planners and surveyors",Females,1347,1351.8,37.8,37.9,35.6,35.7,2016
"232 Architects, designers, planners and surveyors",Males,1676.5,1736.7,37.7,38.5,44.5,45.1,2016
"232 Architects, designers, planners and surveyors",Persons,1553.9,1593.5,37.7,38.3,41.2,41.7,2016
233 Engineering professionals,Females,2143.1,2177.5,38.8,39.3,55.3,55.5,2016
233 Engineering professionals,Males,2314.6,2362,38.6,39.2,59.9,60.2,2016
233 Engineering professionals,Persons,2289.6,2335.2,38.6,39.2,59.3,59.5,2016
234 Natural and physical science professionals,Females,1799.6,1810.6,37.7,37.9,47.7,47.7,2016
234 Natural and physical science professionals,Males,2008,2025.8,38.6,38.9,52.1,52.1,2016
234 Natural and physical science professionals,Persons,1916.8,1931.6,38.2,38.5,50.2,50.2,2016
241 School teachers,Females,1642,1642.1,36.6,36.6,44.9,44.9,2016
241 School teachers,Males,1782.4,1782.9,37.1,37.1,48.1,48.1,2016
241 School teachers,Persons,1673,1673.2,36.7,36.7,45.6,45.6,2016
242 Tertiary education teachers,Females,2069.4,2069.4,35.8,35.8,57.8,57.8,2016
242 Tertiary education teachers,Males,2338.7,2341,36.5,36.5,64.1,64.1,2016
242 Tertiary education teachers,Persons,2229.1,2230.5,36.2,36.2,61.5,61.5,2016
249 Miscellaneous education professionals,Females,1572.6,1579.5,36.1,36.1,43.6,43.7,2016
249 Miscellaneous education professionals,Males,1657.7,1660.2,34.4,34.4,48.2,48.3,2016
249 Miscellaneous education professionals,Persons,1599.5,1605,35.5,35.6,45,45.1,2016
251 Health diagnostic and promotion professionals,Females,1608.4,1639.6,37.9,38.3,42.4,42.8,2016
251 Health diagnostic and promotion professionals,Males,1878.7,1915.7,38.9,39.3,48.3,48.7,2016
251 Health diagnostic and promotion professionals,Persons,1725.8,1759.5,38.3,38.8,45,45.4,2016
252 Health therapy professionals,Females,1479.2,1481.4,37.2,37.2,39.8,39.8,2016
252 Health therapy professionals,Males,1618.9,1630.5,38,38.1,42.6,42.7,2016
252 Health therapy professionals,Persons,1522.5,1527.6,37.4,37.5,40.7,40.7,2016
253 Medical practitioners,Females,2785.1,3016.6,36.5,39.1,76.4,77.1,2016
253 Medical practitioners,Males,3966,4151,38.6,40.3,102.7,103.1,2016
253 Medical practitioners,Persons,3397.7,3605.1,37.6,39.7,90.4,90.8,2016
254 Midwifery and nursing professionals,Females,1839.8,1882.8,38,38.6,48.5,48.8,2016
254 Midwifery and nursing professionals,Males,1826.7,1872.2,38.3,38.9,47.6,48.1,2016
254 Midwifery and nursing professionals,Persons,1837.1,1880.6,38,38.6,48.3,48.7,2016
"261 Business and systems analysts, and programmers",Females,1796.1,1797,38,38,47.3,47.3,2016
"261 Business and systems analysts, and programmers",Males,1993.6,2008.7,38.4,38.7,51.9,52,2016
"261 Business and systems analysts, and programmers",Persons,1950.4,1962.3,38.3,38.5,50.9,50.9,2016
"262 Database and systems administrators, and ICT security specialists",Females,1832.1,1832.1,36.7,36.7,49.9,49.9,2016
"262 Database and systems administrators, and ICT security specialists",Males,2059.9,2067.8,38.2,38.3,53.9,54,2016
"262 Database and systems administrators, and ICT security specialists",Persons,2023.1,2029.8,38,38.1,53.3,53.3,2016
263 ICT network and support professionals,Females,2079.5,2079.5,37.2,37.2,56,56,2016
263 ICT network and support professionals,Males,2034.1,2056.3,38.2,38.5,53.2,53.4,2016
263 ICT network and support professionals,Persons,2043.2,2061,38,38.2,53.7,53.9,2016
271 Legal professionals,Females,1864.6,1866.5,36.9,36.9,50.5,50.5,2016
271 Legal professionals,Males,2043.7,2048.6,37.3,37.4,54.8,54.8,2016
271 Legal professionals,Persons,1950,1953.4,37.1,37.1,52.6,52.6,2016
272 Social and welfare professionals,Females,1438.7,1441.6,37.2,37.2,38.7,38.7,2016
272 Social and welfare professionals,Males,1486.3,1491,37.7,37.8,39.5,39.5,2016
272 Social and welfare professionals,Persons,1456.3,1459.9,37.4,37.4,39,39,2016
"311 Agricultural, medical and science technicians",Females,1169.8,1184.9,37.2,37.6,31.5,31.5,2016
"311 Agricultural, medical and science technicians",Males,1462.1,1497.5,38.3,39.1,38.2,38.3,2016
"311 Agricultural, medical and science technicians",Persons,1347.1,1374.5,37.9,38.5,35.6,35.7,2016
312 Building and engineering technicians,Females,1561,1603.4,38.1,38.9,40.9,41.2,2016
312 Building and engineering technicians,Males,1931.4,2017.2,38.7,40,49.9,50.4,2016
312 Building and engineering technicians,Persons,1889.2,1970,38.6,39.9,48.9,49.4,2016
313 ICT and telecommunications technicians,Females,1221.9,1233.5,38.1,38.3,32.1,32.2,2016
313 ICT and telecommunications technicians,Males,1554,1653.2,38.1,39.5,40.8,41.9,2016
313 ICT and telecommunications technicians,Persons,1478.2,1557.5,38.1,39.2,38.8,39.7,2016
321 Automotive electricians and mechanics,Females,973.6,1053.8,37.7,40.2,25.8,26.2,2016
321 Automotive electricians and mechanics,Males,1318.8,1461.3,39.2,42.2,33.7,34.6,2016
321 Automotive electricians and mechanics,Persons,1315,1456.7,39.1,42.2,33.6,34.5,2016
322 Fabrication engineering trades workers,Persons,1238,1486.8,38.4,42.7,32.2,34.8,2016
323 Mechanical engineering trades workers,Females,1475.1,1550.8,41.6,43.4,35.4,35.8,2016
323 Mechanical engineering trades workers,Males,1745.5,1974.2,39.6,43.4,44.1,45.5,2016
323 Mechanical engineering trades workers,Persons,1741.3,1967.6,39.7,43.4,43.9,45.4,2016
"324 Panelbeaters, and vehicle body builders, trimmers and painters",Persons,1178.2,1319.9,38.5,41.8,30.6,31.5,2016
"331 Bricklayers, and carpenters and joiners",Persons,1416.8,1588.2,38.3,41.4,37,38.4,2016
332 Floor finishers and painting trades workers,Females,0,0,0,0,0,0,2016
"333 Glaziers, plasterers and tilers",Females,0,0,0,0,0,0,2016
"333 Glaziers, plasterers and tilers",Males,1278.9,1393.5,36.9,38.5,34.7,36.2,2016
"333 Glaziers, plasterers and tilers",Persons,1278.9,1393.5,36.9,38.5,34.7,36.2,2016
334 Plumbers,Persons,1518.6,1647.7,38,40.1,39.9,41.1,2016
341 Electricians,Females,1319.8,1412.1,38.1,39,34.7,36.2,2016
341 Electricians,Males,1666.3,1986.7,37.6,41.9,44.3,47.4,2016
341 Electricians,Persons,1656.3,1970.2,37.7,41.8,44,47.1,2016
342 Electronics and telecommunications trades workers,Females,1197.5,1216.7,29.3,29.7,40.9,40.9,2016
342 Electronics and telecommunications trades workers,Males,1432.8,1601.9,38.4,41.1,37.3,39,2016
342 Electronics and telecommunications trades workers,Persons,1428.4,1594.6,38.2,40.8,37.4,39,2016
351 Food trades workers,Females,1127.7,1134.4,38.5,38.6,29.3,29.4,2016
351 Food trades workers,Males,1103.8,1112.7,38.6,38.9,28.6,28.6,2016
351 Food trades workers,Persons,1108.6,1117,38.6,38.9,28.7,28.8,2016
"361 Animal attendants and trainers, and shearers",Females,923.3,944.2,37.5,38.1,24.6,24.8,2016
"361 Animal attendants and trainers, and shearers",Males,1134.1,1134.1,40.1,40.1,28.3,28.3,2016
"361 Animal attendants and trainers, and shearers",Persons,942.6,961.6,37.8,38.2,25,25.1,2016
362 Horticultural trades workers,Females,925.9,974.2,36.7,37.7,25.2,25.9,2016
362 Horticultural trades workers,Males,1109.5,1154.2,38.2,39.1,29.1,29.5,2016
362 Horticultural trades workers,Persons,1097.9,1142.8,38.1,39,28.8,29.3,2016
391 Hairdressers,Females,920.8,957.5,37.3,38.3,24.7,25,2016
391 Hairdressers,Males,1150.5,1199.7,37.1,38.5,31,31.1,2016
391 Hairdressers,Persons,974.1,1013.8,37.2,38.4,26.2,26.4,2016
392 Printing trades workers,Females,1050.2,1089.5,37.6,38.7,27.9,28.1,2016
392 Printing trades workers,Males,1212.3,1370.9,37.7,40.4,32.1,33.9,2016
392 Printing trades workers,Persons,1170.6,1298.5,37.7,40,31,32.5,2016
"393 Textile, clothing and footwear trades workers",Persons,996.8,997.4,38,,26.2,,2016
394 Wood trades workers,Females,0,0,0,0,0,0,2016
394 Wood trades workers,Males,1035.5,1225.7,38.2,42.7,27.1,28.7,2016
394 Wood trades workers,Persons,1035.5,1225.7,38.2,42.7,27.1,28.7,2016
399 Miscellaneous technicians and trades workers,Females,1368.3,1420.6,36.2,37.7,37.8,37.7,2016
399 Miscellaneous technicians and trades workers,Males,1847.8,2085.9,38.9,41.6,47.5,50.2,2016
399 Miscellaneous technicians and trades workers,Persons,1792.1,2008.6,38.6,41.1,46.5,48.9,2016
411 Health and welfare support workers,Females,1332.2,1369.9,37.1,37.8,35.9,36.2,2016
411 Health and welfare support workers,Males,1487.9,1646.9,37.6,40.3,39.5,40.9,2016
411 Health and welfare support workers,Persons,1390.5,1473.7,37.3,38.8,37.3,38,2016
421 Child carers,Persons,903.5,905.7,37,37.1,24.4,24.4,2016
422 Education aides,Females,1195.3,1195.3,37.1,37.1,32.2,32.2,2016
422 Education aides,Males,1214.1,1214.1,35.6,35.6,34.1,34.1,2016
422 Education aides,Persons,1197.8,1197.8,36.9,36.9,32.5,32.5,2016
423 Personal carers and assistants,Females,1119.2,1144.8,37.7,38.3,29.7,29.9,2016
423 Personal carers and assistants,Males,1167.7,1197.1,39.6,40.3,29.5,29.7,2016
423 Personal carers and assistants,Persons,1132.7,1159.4,38.2,38.9,29.6,29.8,2016
431 Hospitality workers,Females,1014.7,1030,37.9,38.3,26.7,26.9,2016
431 Hospitality workers,Males,1059.1,1067.8,38.9,39.1,27.2,27.3,2016
431 Hospitality workers,Persons,1035.8,1048,38.4,38.7,27,27.1,2016
"441 Defence force members, fire fighters and police",Females,1686.1,1753.3,38.6,39.6,43.6,44.3,2016
"441 Defence force members, fire fighters and police",Males,1837.8,1922.4,38.7,39.8,47.5,48.3,2016
"441 Defence force members, fire fighters and police",Persons,1815.6,1897.6,38.6,39.8,47,47.7,2016
442 Prison and security officers,Females,1251.3,1349.6,36.7,38.8,34.1,34.8,2016
442 Prison and security officers,Males,1252.7,1372.8,38.2,40.9,32.8,33.6,2016
442 Prison and security officers,Persons,1252.4,1368.7,37.9,40.5,33,33.8,2016
451 Personal service and travel workers,Females,1126,1186.9,36.9,38.1,30.5,31.1,2016
451 Personal service and travel workers,Males,1147.7,1186.8,35.2,36,32.6,32.9,2016
451 Personal service and travel workers,Persons,1134.9,1186.8,36.2,37.3,31.4,31.8,2016
452 Sports and fitness workers,Females,1248.3,1248.7,37.6,37.6,33.2,33.2,2016
452 Sports and fitness workers,Males,1530.5,1530.6,37.9,37.9,40.4,40.4,2016
452 Sports and fitness workers,Persons,1477.5,1477.7,37.9,37.9,39,39,2016
"511 Contract, program and project administrators",Females,1430.7,1439.4,37.4,37.6,38.3,38.3,2016
"511 Contract, program and project administrators",Males,1872.4,1892.5,38,38.3,49.3,49.4,2016
"511 Contract, program and project administrators",Persons,1651.1,1665.5,37.7,37.9,43.8,43.9,2016
512 Office and practice managers,Females,1394,1409.6,37.8,38.1,36.9,37,2016
512 Office and practice managers,Males,1778,1796.1,38.6,39,46,46.1,2016
512 Office and practice managers,Persons,1479,1495.2,38,38.3,38.9,39.1,2016
521 Personal assistants and secretaries,Females,1344.1,1346.3,37.6,37.7,35.7,35.7,2016
521 Personal assistants and secretaries,Males,1339.4,1368.9,37.3,38,35.9,36,2016
521 Personal assistants and secretaries,Persons,1344,1347.1,37.6,37.7,35.7,35.7,2016
531 General clerks,Females,1090.3,1101.4,36.9,37.1,29.6,29.7,2016
531 General clerks,Males,1178.6,1219.7,37,37.8,31.9,32.3,2016
531 General clerks,Persons,1106.7,1123.4,36.9,37.3,30,30.2,2016
532 Keyboard operators,Females,1115.5,1123.2,37.8,38,29.5,29.6,2016
532 Keyboard operators,Males,1158.9,1242.7,37.2,39.1,31.2,31.8,2016
532 Keyboard operators,Persons,1125.6,1150.9,37.7,38.3,29.9,30.1,2016
541 Call or contact centre information clerks,Females,1131.8,1148.9,36.9,37.2,30.7,30.9,2016
541 Call or contact centre information clerks,Males,1147.3,1176.3,37,37.5,31,31.4,2016
541 Call or contact centre information clerks,Persons,1137.4,1158.8,36.9,37.3,30.8,31,2016
542 Receptionists,Females,960.8,969.2,37.9,38.1,25.4,25.4,2016
542 Receptionists,Males,965.8,982.2,36.4,36.7,26.5,26.7,2016
542 Receptionists,Persons,961.2,970.1,37.8,38,25.4,25.5,2016
551 Accounting clerks and bookkeepers,Females,1205.9,1208.8,37.6,37.6,32.1,32.1,2016
551 Accounting clerks and bookkeepers,Males,1348.2,1349.6,38.2,38.2,35.3,35.3,2016
551 Accounting clerks and bookkeepers,Persons,1235.1,1237.6,37.7,37.8,32.7,32.8,2016
552 Financial and insurance clerks,Females,1224.4,1237.8,37.7,38,32.5,32.6,2016
552 Financial and insurance clerks,Males,1340.5,1347.4,38.3,38.4,35,35.1,2016
552 Financial and insurance clerks,Persons,1267.5,1278.6,37.9,38.1,33.4,33.5,2016
561 Clerical and office support workers,Females,1084.2,1123.9,37.2,38.1,29.1,29.5,2016
561 Clerical and office support workers,Males,1105,1191.3,36.9,39,29.9,30.5,2016
561 Clerical and office support workers,Persons,1094.4,1156.8,37.1,38.6,29.5,30,2016
591 Logistics clerks,Females,1184.6,1197.4,38.4,38.7,30.9,31,2016
591 Logistics clerks,Males,1390.9,1455,38.3,39.6,36.4,36.8,2016
591 Logistics clerks,Persons,1293.1,1332.9,38.3,39.1,33.7,34.1,2016
599 Miscellaneous clerical and administrative workers,Females,1227,1236.3,37.5,37.6,32.7,32.9,2016
599 Miscellaneous clerical and administrative workers,Males,1451.6,1516.4,37.3,38.4,38.9,39.5,2016
599 Miscellaneous clerical and administrative workers,Persons,1311.3,1341.4,37.4,37.9,35.1,35.4,2016
611 Insurance agents and sales representatives,Females,1300.3,1307,37.9,38,34.3,34.4,2016
611 Insurance agents and sales representatives,Males,1567.1,1573.5,38.2,38.3,41,41.1,2016
611 Insurance agents and sales representatives,Persons,1458.8,1465.4,38.1,38.2,38.3,38.3,2016
612 Real estate sales agents,Females,1100.2,1104.7,37.7,37.8,29.2,29.2,2016
612 Real estate sales agents,Males,1530.2,1538.3,38.3,38.6,39.9,39.9,2016
612 Real estate sales agents,Persons,1274.4,1280.3,37.9,38.1,33.6,33.6,2016
621 Sales assistants and salespersons,Females,962.2,973.2,38.1,38.5,25.2,25.3,2016
621 Sales assistants and salespersons,Males,1040.9,1076,38.3,39.3,27.2,27.4,2016
621 Sales assistants and salespersons,Persons,1001,1023.9,38.2,38.9,26.2,26.3,2016
631 Checkout operators and office cashiers,Females,895.3,929.1,36.9,37.6,24.3,24.7,2016
631 Checkout operators and office cashiers,Males,955.2,1027.9,38.5,40.1,24.8,25.7,2016
631 Checkout operators and office cashiers,Persons,919,968.1,37.5,38.6,24.5,25.1,2016
639 Miscellaneous sales support workers,Females,1088,1102.4,38.1,38.4,28.6,28.7,2016
639 Miscellaneous sales support workers,Males,1434.2,1542.6,38.6,40.5,37.1,38.1,2016
639 Miscellaneous sales support workers,Persons,1211.2,1259,38.3,39.1,31.6,32.2,2016
711 Machine operators,Females,912.5,966.9,36.7,38.2,24.9,25.3,2016
711 Machine operators,Males,1176.8,1366.2,37.6,41.6,31.3,32.9,2016
711 Machine operators,Persons,1110.5,1266.1,37.4,40.7,29.7,31.1,2016
712 Stationary plant operators,Females,1793.5,1879.3,41.1,42.6,43.6,44.1,2016
712 Stationary plant operators,Males,1903.1,2066.1,40.2,43.2,47.4,47.9,2016
712 Stationary plant operators,Persons,1896.6,2055.1,40.2,43.1,47.1,47.6,2016
721 Mobile plant operators,Females,1236.3,1852.4,38.1,50.5,32.4,36.7,2016
721 Mobile plant operators,Males,1269,1549.8,38.1,43.7,33.3,35.5,2016
721 Mobile plant operators,Persons,1268.1,1557.9,38.1,43.9,33.2,35.5,2016
"731 Automobile, bus and rail drivers",Females,1145,1302.7,38,41.2,30.1,31.7,2016
"731 Automobile, bus and rail drivers",Males,1560.1,1759.5,38.6,42.4,40.4,41.5,2016
"731 Automobile, bus and rail drivers",Persons,1527.7,1723.8,38.6,42.3,39.6,40.8,2016
732 Delivery drivers,Females,864.7,867.5,37.3,37.4,23.2,23.2,2016
732 Delivery drivers,Males,906.1,999.5,38.7,41.1,23.4,24.3,2016
732 Delivery drivers,Persons,905.6,997.7,38.7,41.1,23.4,24.3,2016
733 Truck drivers,Females,1300.6,1520.2,41.8,47.6,31.1,32,2016
733 Truck drivers,Males,1259.5,1488.4,41.4,47.3,30.4,31.5,2016
733 Truck drivers,Persons,1261,1489.5,41.5,47.3,30.4,31.5,2016
741 Storepersons,Females,954.3,1023.1,37.5,38.9,25.4,26.3,2016
741 Storepersons,Males,1023.9,1121.2,38.2,40.4,26.8,27.8,2016
741 Storepersons,Persons,1014.3,1107.6,38.1,40.2,26.6,27.6,2016
811 Cleaners and laundry workers,Females,891.3,916.1,37.9,38.5,23.5,23.8,2016
811 Cleaners and laundry workers,Males,974.7,1037.7,37.8,39.3,25.8,26.4,2016
811 Cleaners and laundry workers,Persons,944.6,993.8,37.8,39,25,25.5,2016
821 Construction and mining labourers,Females,1172.9,1461.3,36.8,41,31.9,35.6,2016
821 Construction and mining labourers,Males,1411.9,1728,38.9,44.4,36.3,38.9,2016
821 Construction and mining labourers,Persons,1407.7,1723.4,38.9,44.4,36.2,38.8,2016
831 Food process workers,Females,941.3,981.1,37.5,38.6,25.1,25.4,2016
831 Food process workers,Males,1155.2,1266.2,38.5,41.1,30,30.8,2016
831 Food process workers,Persons,1122.6,1222.8,38.3,40.7,29.3,30,2016
832 Packers and product assemblers,Females,858.1,927.8,38,40.1,22.6,23.1,2016
832 Packers and product assemblers,Males,976.2,1035,37.6,39,26,26.6,2016
832 Packers and product assemblers,Persons,924.8,988.3,37.8,39.5,24.5,25,2016
839 Miscellaneous factory process workers,Females,1008,1077.2,37.9,39.9,26.6,27,2016
839 Miscellaneous factory process workers,Males,1017.7,1135.1,38.2,41.2,26.6,27.6,2016
839 Miscellaneous factory process workers,Persons,1016.4,1127,38.2,41,26.6,27.5,2016
"841 Farm, forestry and garden workers",Females,842.2,865.3,36.4,36.9,23.1,23.4,2016
"841 Farm, forestry and garden workers",Males,922.5,981.6,37.4,39.1,24.7,25.1,2016
"841 Farm, forestry and garden workers",Persons,909.7,963,37.2,38.7,24.4,24.9,2016
851 Food preparation assistants,Females,1074.4,1092.1,40.2,40.6,26.7,26.9,2016
851 Food preparation assistants,Males,1099.6,1152.8,41.4,42.9,26.6,26.9,2016
851 Food preparation assistants,Persons,1084.5,1116.4,40.7,41.5,26.7,26.9,2016
891 Freight handlers and shelf fillers,Persons,1023.5,1213.5,37.8,43.6,27.1,27.8,2016
899 Miscellaneous labourers,Females,1082.8,1108.8,39.9,40.5,27.1,27.4,2016
899 Miscellaneous labourers,Males,1118.6,1252.7,38.6,41,29,30.5,2016
899 Miscellaneous labourers,Persons,1116.7,1244.9,38.7,41,28.9,30.4,2016
